#Accession	ID	Type	Description	Class	subclass
RF00406	SNORA42	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA42/SNORA80 family	snoRNA	HACA-box
RF00407	SNORA50	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA50	snoRNA	HACA-box
RF00408	SNORA1	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA1	snoRNA	HACA-box
RF00409	SNORA7	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA7	snoRNA	HACA-box
RF00410	SNORA2	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA2/SNORA34 family	snoRNA	HACA-box
RF00411	SNORA9	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA9	snoRNA	HACA-box
RF00412	SNORA21	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA21	snoRNA	HACA-box
RF00413	SNORA19	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA19	snoRNA	HACA-box
RF00414	SNORA22	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA22	snoRNA	HACA-box
RF00415	SNORA30	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA30/SNORA37 family	snoRNA	HACA-box
RF00416	SNORA43	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA43	snoRNA	HACA-box
RF00417	SNORA56	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA56	snoRNA	HACA-box
RF00418	SNORA58	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA58	snoRNA	HACA-box
RF00419	SNORA52	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA52	snoRNA	HACA-box
RF00420	SNORA61	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA61	snoRNA	HACA-box
RF00421	SNORA32	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA32	snoRNA	HACA-box
RF00422	SCARNA24	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 24	snoRNA	scaRNA
RF00423	SCARNA4	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 4	snoRNA	scaRNA
RF00424	SCARNA16	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 16	snoRNA	scaRNA
RF00425	SNORA18	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA18	snoRNA	HACA-box
RF00426	SCARNA15	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 15	snoRNA	scaRNA
RF00427	SCARNA23	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 23	snoRNA	scaRNA
RF00428	SNORA38	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA38	snoRNA	HACA-box
RF00429	SNORA29	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA29	snoRNA	HACA-box
RF00430	SNORA54	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA54	snoRNA	HACA-box
RF00431	SNORA55	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA55	snoRNA	HACA-box
RF00432	SNORA51	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA51	snoRNA	HACA-box
RF00438	SNORA33	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA33	snoRNA	HACA-box
RF00439	SNORD87	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD87	snoRNA	CD-box
RF00440	SNORD37	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD37	snoRNA	CD-box
RF00441	snoZ242	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Z242	snoRNA	CD-box
RF00443	SNORA27	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA27	snoRNA	HACA-box
RF00471	snosnR48	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR48	snoRNA	CD-box
RF00472	snosnR55	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR55/Z10	snoRNA	CD-box
RF00473	snosnR54	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR54	snoRNA	CD-box
RF00474	snosnR57	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR57	snoRNA	CD-box
RF00475	snosnR69	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR69	snoRNA	CD-box
RF00476	snosnR61	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR61/Z1/Z11	snoRNA	CD-box
RF00477	snosnR66	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR66	snoRNA	CD-box
RF00478	SCARNA6	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 6	snoRNA	scaRNA
RF00479	snosnR71	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR71	snoRNA	CD-box
RF00482	snoF1_F2	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA F1/F2/snoR5a	snoRNA	HACA-box
RF00488	U1_yeast	Gene;snRNA;splicing	Yeast U1 spliceosomal RNA	snRNA	splicing
RF00492	SCARNA17	Gene;snRNA;snoRNA;scaRNA	small Cajal body-specific RNA 17	snoRNA	scaRNA
RF00493	snoU2-30	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U2-30	snoRNA	CD-box
RF00494	snoU2_19	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U2-19	snoRNA	CD-box
RF00509	snosnR64	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR64	snoRNA	CD-box
RF00526	snoMe28S-U3344	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-U3344	snoRNA	CD-box
RF00527	snoMe28S-G3255	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Gm3255	snoRNA	CD-box
RF00528	snoMe28S-Gm1083	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Gm1083	snoRNA	CD-box
RF00529	snoMe28S-Am2589	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Am2589	snoRNA	CD-box
RF00530	snoMe28S-Cm2645	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Cm2645	snoRNA	CD-box
RF00531	snoMe28S-Gm3113	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Gm3113	snoRNA	CD-box
RF00532	snoMe18S-Um1356	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me18S-Um1356	snoRNA	CD-box
RF00533	snoMe18S-Gm1358	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me18S-Gm1358	snoRNA	CD-box
RF00535	snoMe28S-Am982	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Am982	snoRNA	CD-box
RF00536	snoMe28S-Cm3227	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Cm3227	snoRNA	CD-box
RF00537	snoMe28S-Am2634	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Am2634	snoRNA	CD-box
RF00538	snoCD11	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA CD11	snoRNA	CD-box
RF00539	snoMe28S-Cm788	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Me28S-Cm788	snoRNA	CD-box
RF00540	snopsi18S-1854	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi18S-1854	snoRNA	HACA-box
RF00541	snopsi28S-2876	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi28S-2876	snoRNA	HACA-box
RF00542	snopsi28S-1192	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi28S-1192	snoRNA	HACA-box
RF00543	snopsi18S-1377	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi18S-1377	snoRNA	HACA-box
RF00544	snopsi28S-3327	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi28S-3327	snoRNA	HACA-box
RF00545	snopsi18S-841	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi18S-841/snoR66	snoRNA	HACA-box
RF00546	snopsi28S-3316	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA psi28S-3316	snoRNA	HACA-box
RF00548	U11	Gene;snRNA;splicing	U11 spliceosomal RNA	snRNA	splicing
RF00553	SCARNA1	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 1	snoRNA	scaRNA
RF00554	SNORA48	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA48	snoRNA	HACA-box
RF00560	SNORA17	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA17	snoRNA	HACA-box
RF00561	SNORA40	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA40	snoRNA	HACA-box
RF00562	SNORA49	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA49	snoRNA	HACA-box
RF00563	SNORA53	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA53	snoRNA	HACA-box
RF00564	SCARNA11	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 11	snoRNA	scaRNA
RF00565	SCARNA3	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 3	snoRNA	scaRNA
RF00566	SNORA35	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA35	snoRNA	HACA-box
RF00567	SNORD17	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD17	snoRNA	CD-box
RF00568	SNORA26	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA26	snoRNA	HACA-box
RF00569	SNORD19	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD19	snoRNA	CD-box
RF00570	SNORD64	Gene;snRNA;snoRNA;CD-box	Small Nucleolar RNA SNORD64	snoRNA	CD-box
RF00571	SNORD65	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD65	snoRNA	CD-box
RF00572	SNORD66	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD66	snoRNA	CD-box
RF00573	SNORD67	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD67	snoRNA	CD-box
RF00574	SNORD69	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD69	snoRNA	CD-box
RF00575	SNORD70	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD70	snoRNA	CD-box
RF00576	SNORD71	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORD71	snoRNA	HACA-box
RF00577	SNORD72	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD72	snoRNA	CD-box
RF00578	SNORD89	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD89	snoRNA	CD-box
RF00579	SNORD90	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD90	snoRNA	CD-box
RF00580	SNORD91	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD91 family	snoRNA	CD-box
RF00581	SNORD12	Gene;snRNA;snoRNA;CD-box	Small nucleolar SNORD12/SNORD106	snoRNA	CD-box
RF00582	SCARNA14	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 14	snoRNA	scaRNA
RF00584	SNORD105	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD105	snoRNA	CD-box
RF00586	SNORA12	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA12	snoRNA	HACA-box
RF00588	SNORD41	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD41	snoRNA	CD-box
RF00591	SNORD77	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD77	snoRNA	CD-box
RF00592	SNORD78	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD78	snoRNA	CD-box
RF00593	snoU83B	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U83B	snoRNA	CD-box
RF00594	SNORD86	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD86	snoRNA	CD-box
RF00598	SNORA76	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA76	snoRNA	HACA-box
RF00599	SNORA77	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA77	snoRNA	HACA-box
RF00600	SNORA79	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA79	snoRNA	HACA-box
RF00601	SCARNA20	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 20	snoRNA	scaRNA
RF00602	SCARNA21	Gene;snRNA;snoRNA;scaRNA	Small Cajal body specific RNA 21	snoRNA	scaRNA
RF00603	SNORD23	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD23	snoRNA	CD-box
RF00604	SNORD88	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD88	snoRNA	CD-box
RF00606	SNORD93	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD93	snoRNA	CD-box
RF00607	SNORD98	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD98	snoRNA	CD-box
RF00608	SNORD99	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD99	snoRNA	CD-box
RF00609	SNORD100	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD100	snoRNA	CD-box
RF00610	SNORD110	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD110	snoRNA	CD-box
RF00611	SNORD111	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD111	snoRNA	CD-box
RF00612	SNORD75	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD75	snoRNA	CD-box
RF00613	SNORD94	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD94	snoRNA	CD-box
RF00614	SNORA11	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA11	snoRNA	HACA-box
RF00618	U4atac	Gene;snRNA;splicing	U4atac minor spliceosomal RNA	snRNA	splicing
RF00619	U6atac	Gene;snRNA;splicing	U6atac minor spliceosomal RNA	snRNA	splicing
RF01119	sR32	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR32	snoRNA	CD-box
RF01120	sR33	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR33	snoRNA	CD-box
RF01121	sR38	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR38	snoRNA	CD-box
RF01122	sR39	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR39	snoRNA	CD-box
RF01123	sR35	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR35	snoRNA	CD-box
RF01124	sR36	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR36	snoRNA	CD-box
RF01125	sR4	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR4	snoRNA	CD-box
RF01126	sR41	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR41	snoRNA	CD-box
RF01127	sR42	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR42	snoRNA	CD-box
RF01128	sR43	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR42	snoRNA	CD-box
RF01129	sR44	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR44	snoRNA	CD-box
RF01130	sR46	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR46	snoRNA	CD-box
RF01131	sR47	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR47	snoRNA	CD-box
RF01132	sR48	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR48	snoRNA	CD-box
RF01133	sR3	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR3	snoRNA	CD-box
RF01134	sR30	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR30	snoRNA	CD-box
RF01135	sR24	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR24	snoRNA	CD-box
RF01136	sR28	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR28	snoRNA	CD-box
RF01137	sR21	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR21	snoRNA	CD-box
RF01138	sR23	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR23	snoRNA	CD-box
RF01139	sR2	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR2	snoRNA	CD-box
RF01140	sR20	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR20	snoRNA	CD-box
RF01141	sR18	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR18	snoRNA	CD-box
RF01142	sR19	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR19	snoRNA	CD-box
RF01143	sR16	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR16	snoRNA	CD-box
RF01144	sR17	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR17	snoRNA	CD-box
RF01145	sR14	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR14	snoRNA	CD-box
RF01146	sR15	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR15	snoRNA	CD-box
RF01147	sR12	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR12	snoRNA	CD-box
RF01149	sR10	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR10	snoRNA	CD-box
RF01150	sR11	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR11	snoRNA	CD-box
RF01151	snoU82P	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U82P	snoRNA	CD-box
RF01152	sR1	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sR1	snoRNA	CD-box
RF01153	sn3060	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn3060	snoRNA	CD-box
RF01155	snoR101	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR101	snoRNA	CD-box
RF01156	SNORD123	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD123	snoRNA	CD-box
RF01157	sn1185	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn1185	snoRNA	CD-box
RF01158	SNORD108	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD108	snoRNA	CD-box
RF01159	snoU18	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U18	snoRNA	CD-box
RF01160	sn2841	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2841	snoRNA	CD-box
RF01161	SNORD5	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD5	snoRNA	CD-box
RF01162	sn668	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn668	snoRNA	CD-box
RF01163	snoR64a	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR64a	snoRNA	CD-box
RF01164	SNORD107	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD107	snoRNA	CD-box
RF01165	sn2317	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2317	snoRNA	CD-box
RF01166	sn3071	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn3071	snoRNA	CD-box
RF01167	sn2429	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2429	snoRNA	CD-box
RF01168	SNORD126	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD126	snoRNA	CD-box
RF01169	SNORD112	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD112	snoRNA	CD-box
RF01170	snoU61	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U61	snoRNA	CD-box
RF01171	snoR4	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR4	snoRNA	CD-box
RF01172	sn2343	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2343	snoRNA	CD-box
RF01173	snoU105B	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U105B	snoRNA	CD-box
RF01174	snoU43	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U43	snoRNA	CD-box
RF01175	snoU83D	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U83	snoRNA	CD-box
RF01176	snR78	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR78	snoRNA	CD-box
RF01177	snR67	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR67	snoRNA	CD-box
RF01178	snoR77Y	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR77Y	snoRNA	CD-box
RF01179	snoU83	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U83	snoRNA	CD-box
RF01180	snoR110	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR110	snoRNA	HACA-box
RF01181	snR77	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR77	snoRNA	CD-box
RF01182	SNORD11	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD11	snoRNA	CD-box
RF01183	SNORD19B	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD19B	snoRNA	CD-box
RF01184	snR79	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR79	snoRNA	CD-box
RF01185	snR75	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR75	snoRNA	CD-box
RF01186	SNORD127	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD127	snoRNA	CD-box
RF01188	snR56	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR56	snoRNA	CD-box
RF01189	sn1502	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn1502	snoRNA	CD-box
RF01190	snR50	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR50	snoRNA	CD-box
RF01191	SNORD121A	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD121A	snoRNA	CD-box
RF01192	SNORD11B	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD11B	snoRNA	CD-box
RF01193	snoR20a	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR20a	snoRNA	CD-box
RF01194	sn2903	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2903	snoRNA	CD-box
RF01195	snR52	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR52	snoRNA	CD-box
RF01196	snoZ30a	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Z30a	snoRNA	CD-box
RF01197	snR39	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR39	snoRNA	CD-box
RF01198	snoR69Y	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snoR69Y	snoRNA	CD-box
RF01199	snR58	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR58	snoRNA	CD-box
RF01200	SNORD125	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD125	snoRNA	CD-box
RF01201	snR40	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR40	snoRNA	CD-box
RF01202	sn2991	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2991	snoRNA	CD-box
RF01203	snR47	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR47	snoRNA	CD-box
RF01204	snR65	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR65	snoRNA	HACA-box
RF01205	snR62	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR62	snoRNA	CD-box
RF01206	snoR109	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR109	snoRNA	HACA-box
RF01207	snR73	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR73	snoRNA	CD-box
RF01208	snoR99	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR99	snoRNA	HACA-box
RF01209	snR76	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR76	snoRNA	CD-box
RF01210	snoU13	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U13	snoRNA	CD-box
RF01211	SNORD124	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD124	snoRNA	CD-box
RF01212	sn2524	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2524	snoRNA	CD-box
RF01213	snoR103	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR103	snoRNA	HACA-box
RF01214	snR51	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR51	snoRNA	CD-box
RF01215	snoR97	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR97	snoRNA	HACA-box
RF01216	snR87	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR87	snoRNA	CD-box
RF01218	snR41	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR41	snoRNA	CD-box
RF01219	snoR100	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR100	snoRNA	HACA-box
RF01220	snoR104	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR104	snoRNA	HACA-box
RF01221	snoU6-47	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U6-47	snoRNA	CD-box
RF01222	sn2417	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA sn2417	snoRNA	CD-box
RF01223	snR13	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR13	snoRNA	CD-box
RF01224	snoR80	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR80	snoRNA	HACA-box
RF01225	ACA64	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA ACA64	snoRNA	HACA-box
RF01226	snoZ5	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA Z5	snoRNA	CD-box
RF01227	snoR83	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR83	snoRNA	HACA-box
RF01228	snoR111	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR111	snoRNA	HACA-box
RF01229	SNORA84	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA84	snoRNA	HACA-box
RF01230	snoR77	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR77	snoRNA	HACA-box
RF01231	snoR74	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snoR74	snoRNA	HACA-box
RF01232	snoR442	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA R442	snoRNA	CD-box
RF01233	snoU109	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA U109	snoRNA	HACA-box
RF01234	SNORA47	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA47	snoRNA	HACA-box
RF01235	snR68	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR68	snoRNA	CD-box
RF01236	snoU19	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA U19	snoRNA	HACA-box
RF01237	snR161	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR161	snoRNA	HACA-box
RF01238	snR70	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR70	snoRNA	CD-box
RF01239	snR49	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR49	snoRNA	HACA-box
RF01240	snR85	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR85	snoRNA	HACA-box
RF01241	SNORA81	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA SNORA81	snoRNA	HACA-box
RF01242	snR36	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR36	snoRNA	HACA-box
RF01243	snR33	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR33	snoRNA	HACA-box
RF01244	snR4	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA snR4	snoRNA	CD-box
RF01245	snR9	Gene;snRNA;snoRNA;HACA-box	Small nucleolar RNA snR9	snoRNA	HACA-box
