#Accession	ID	Type	Description	Class	subclass
RF04230	mir-9261	Gene;miRNA	mir-9261 microRNA precursor family	miRNA	miRNA
RF04231	mir-9191	Gene;miRNA	mir-9191 microRNA precursor family	miRNA	miRNA
RF04232	mir-9318	Gene;miRNA	mir-9318 microRNA precursor family	miRNA	miRNA
RF04233	mir-680	Gene;miRNA	mir-680 microRNA precursor family	miRNA	miRNA
RF04234	mir-1421	Gene;miRNA	mir-1421 microRNA precursor family	miRNA	miRNA
RF04235	mir-242_2	Gene;miRNA	microRNA mir-242_2	miRNA	miRNA
RF04236	mir-1285	Gene;miRNA	mir-1285 microRNA precursor family	miRNA	miRNA
RF00003	U1	Gene;snRNA;splicing	U1 spliceosomal RNA	snRNA	splicing
RF00004	U2	Gene;snRNA;splicing	U2 spliceosomal RNA	snRNA	splicing
RF00007	U12	Gene;snRNA;splicing	U12 minor spliceosomal RNA	snRNA	splicing
RF00012	U3	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA U3	snoRNA	CD-box
RF00015	U4	Gene;snRNA;splicing	U4 spliceosomal RNA	snRNA	splicing
RF00016	SNORD14	Gene;snRNA;snoRNA;CD-box	Small nucleolar RNA SNORD14	snoRNA	CD-box
RF00020	U5	Gene;snRNA;splicing	U5 spliceosomal RNA	snRNA	splicing
RF00026	U6	Gene;snRNA;splicing	U6 spliceosomal RNA	snRNA	splicing
